product_id,url,name,brand,price,image_route,top_notes,middle_notes,base_notes,accords,description
10523,https://www.bysuco.com/product/show/10523,플라워 오브 이모탈리티 오 드 퍼퓸,킬리안,450000.0,https://cf.bysuco.net/584720ca4d88a337fb8bd6c908f7a6aa_cvt.webp?w=600,"화이트 피치, 블랙커런트","아이리스, 로즈","통카빈, 바닐라","프루티, 플로럴, 스위트, 소프트","잘 익은 화이트 피치의 달콤한 과즙이 투명하게 퍼지며 아이리스와 로즈가 부드럽게 겹쳐져, 바닐라와 통카빈으로 크리미하게 마무리되는 섬세하고 우아한 프루티 플로럴 향"
21121,https://www.bysuco.com/product/show/21121,포트레이트 오브 어 레이디 오 드 퍼퓸,프레데릭 말,430000.0,https://cf.bysuco.net/f35bf28b56ca76e0fc0e9c8e27992217_cvt.webp?w=600,"로즈, 블랙커런트","클로브, 시나몬, 라즈베리","파출리, 인센스, 샌달우드","로즈, 오리엔탈, 스파이시, 인텐스","농밀한 터키시 로즈가 짙게 피어오르며 블랙커런트와 스파이스가 긴장감을 더하고, 파출리와 인센스가 깊고 어두운 여운으로 이어지는 강렬하고 우아한 로즈 오리엔탈 향"
34346,https://www.bysuco.com/product/show/34346,아이레 수틸레사 오 드 뚜왈렛,로에베,172000.0,https://cf.bysuco.net/4d8def2731abd1cd3b66ae974775851b.jpg?w=600,"베르가못, 네롤리",오렌지 블로썸,머스크,"플로럴, 시트러스, 프레시, 라이트","햇살에 반짝이는 오렌지 블로썸의 맑은 향이 가볍게 퍼지며, 시트러스의 투명함과 머스크가 어우러져 공기처럼 부드럽고 순수하게 남는 섬세한 화이트 플로럴 향"
10520,https://www.bysuco.com/product/show/10520,문라이트 인 헤븐 오 드 퍼퓸,킬리안,450000.0,https://cf.bysuco.net/5eededc3a84f20475901cdb07985f77c_cvt.webp?w=600,"망고, 자몽","코코넛, 라이스","통카빈, 베티버","프루티, 플로럴, 크리미, 이국적인","잘 익은 망고와 자몽의 달콤한 과즙이 투명하게 퍼지며, 코코넛과 라이스 노트가 부드럽게 감싸 안아 이국적이고 로맨틱하게 이어지는 프루티 플로럴 향"
10370,https://www.bysuco.com/product/show/10370,레이지 선데이 모닝 오 드 뚜왈렛,메종 마르지엘라,110000.0,https://cf.bysuco.net/31d1d9e818da36bf16166541d46f7879.jpg?w=600,"알데하이드, 페어","릴리 오브 더 밸리, 아이리스, 로즈","화이트 머스크, 암브레트, 파출리","플로럴, 머스크, 클린, 코지","햇살이 스며든 침구처럼 알데하이드의 맑은 공기감이 퍼지며, 릴리 오브 더 밸리와 아이리스가 포근하게 이어져 화이트 머스크로 깨끗하게 마무리되는 부드럽고 평온한 클린 플로럴 향"
9370,https://www.bysuco.com/product/show/9370,어벤투스 오 드 퍼퓸,크리드,430000.0,https://cf.bysuco.net/25aa36916334ba38fde137e024b1727f_cvt.webp?w=600,"파인애플, 블랙커런트, 베르가못","자작나무, 파출리, 자스민","머스크, 오크모스, 앰버그리스","프루티, 우디, 스모키, 클래식","상큼한 파인애플과 블랙커런트의 프레시함으로 시작해, 스모키한 우드와 머스크가 깊이를 더하며 자신감 있게 마무리되는 클래식하고 강인한 프루티 우디 향"
10716,https://www.bysuco.com/product/show/10716,오드 우드 오 드 퍼퓸,톰 포드,260000.0,https://cf.bysuco.net/b26c9b393726d01fd533ef5cabcc632f_cvt.webp?w=600,"로즈우드, 카다몸","우드 노트, 베티버","앰버, 바닐라, 통카빈","우디, 스파이시, 웜, 럭셔리","스모키한 우드와 스파이스가 깊게 어우러지며, 따뜻한 앰버와 바닐라가 잔향으로 남는 묵직하고 세련된 우디 스파이시 향"
9368,https://www.bysuco.com/product/show/9368,실버 마운틴 워터 오 드 퍼퓸,크리드,410000.0,https://cf.bysuco.net/accec9fa9c250533933837c2c1d19e95.jpg?w=600,"버베나, 블랙커런트","녹차, 워터리 노트","머스크, 앰버","그린, 아쿠아틱, 클린, 프레시","눈부신 산자락 계곡처럼 투명한 그린 티와 시트러스가 맑게 펼쳐지며, 은은한 블랙커런트와 머스크가 깔끔하게 이어지는 청량하고 정제된 아쿠아틱 그린 향"
10155,https://www.bysuco.com/product/show/10155,플레르 드 뽀 오 드 퍼퓸,딥티크,315000.0,https://cf.bysuco.net/674f1342fa588659762bd7e538e87297_cvt.webp?w=600,"알데하이드, 핑크 페퍼","아이리스, 암브레트","머스크, 샌달우드","머스크, 파우더리, 플로럴, 스킨센트","부드러운 아이리스와 파우더리한 머스크가 피부에 스며들 듯 밀착되며, 암브레트의 따뜻한 결이 잔향으로 이어지는 포근하고 관능적인 스킨 머스크 향"
10558,https://www.bysuco.com/product/show/10558,오르페옹 오 드 퍼퓸,딥티크,315000.0,https://cf.bysuco.net/4b722975836a2e17226bfc5af864e36a_cvt.webp?w=600,주니퍼 베리,"아이리스, 자스민","머스크, 시더우드, 통카빈","우디, 머스크, 파우더리, 무드","비 오는 밤 파리의 재즈 바를 연상시키는 주니퍼 베리와 파우더리 아이리스가 어둑하게 퍼지며, 머스크와 우디 노트가 깊고 부드럽게 이어지는 세련되고 무드 있는 우디 머스크 향"
